date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:33:22	74716/74716	---M-Z	200	added ('OK')	text/html	date:Wed,%2030%20Jun%202021%2016:22:34%20GMT	http://www.scrapbuyerss.com/Aluminium-Scrap-Seller.html	C:/My%20Web%20Sites/Test%20Site/www.scrapbuyerss.com/Aluminium-Scrap-Seller.html	(from http://www.scrapbuyerss.com/)
20:33:22	72161/72161	---M-Z	200	added ('OK')	text/html	date:Wed,%2030%20Jun%202021%2016:22:34%20GMT	http://www.scrapbuyerss.com/Battery-Scrap-Seller.html	C:/My%20Web%20Sites/Test%20Site/www.scrapbuyerss.com/Battery-Scrap-Seller.html	(from http://www.scrapbuyerss.com/)
20:33:23	69382/69382	---M-Z	200	added ('OK')	text/html	date:Wed,%2030%20Jun%202021%2016:22:34%20GMT	http://www.scrapbuyerss.com/Brass-Scrap-Seller.html	C:/My%20Web%20Sites/Test%20Site/www.scrapbuyerss.com/Brass-Scrap-Seller.html	(from http://www.scrapbuyerss.com/)
20:33:23	73210/73210	---M-Z	200	added ('OK')	text/html	date:Wed,%2030%20Jun%202021%2016:22:34%20GMT	http://www.scrapbuyerss.com/Computer-Scrap-Seller.html	C:/My%20Web%20Sites/Test%20Site/www.scrapbuyerss.com/Computer-Scrap-Seller.html	(from http://www.scrapbuyerss.com/)
20:33:24	70658/70658	---M-Z	200	added ('OK')	text/html	date:Wed,%2030%20Jun%202021%2016:22:34%20GMT	http://www.scrapbuyerss.com/Copper-Scrap-Seller.html	C:/My%20Web%20Sites/Test%20Site/www.scrapbuyerss.com/Copper-Scrap-Seller.html	(from http://www.scrapbuyerss.com/)
20:33:24	80892/80892	---M-Z	200	added ('OK')	text/html	date:Wed,%2030%20Jun%202021%2016:22:34%20GMT	http://www.scrapbuyerss.com/Demolishing-Work-Seller.html	C:/My%20Web%20Sites/Test%20Site/www.scrapbuyerss.com/Demolishing-Work-Seller.html	(from http://www.scrapbuyerss.com/)
20:33:25	68132/68132	---M-Z	200	added ('OK')	text/html	date:Wed,%2030%20Jun%202021%2016:22:34%20GMT	http://www.scrapbuyerss.com/DG-Set-Seller.html	C:/My%20Web%20Sites/Test%20Site/www.scrapbuyerss.com/DG-Set-Seller.html	(from http://www.scrapbuyerss.com/)
20:33:25	78626/78626	---M-Z	200	added ('OK')	text/html	date:Wed,%2030%20Jun%202021%2016:22:34%20GMT	http://www.scrapbuyerss.com/UPVC-Window-Scrap-Seller.html	C:/My%20Web%20Sites/Test%20Site/www.scrapbuyerss.com/UPVC-Window-Scrap-Seller.html	(from http://www.scrapbuyerss.com/)
20:33:26	75762/75762	---M-Z	200	added ('OK')	text/html	date:Wed,%2030%20Jun%202021%2016:22:34%20GMT	http://www.scrapbuyerss.com/Electrical-Scrap-Seller.html	C:/My%20Web%20Sites/Test%20Site/www.scrapbuyerss.com/Electrical-Scrap-Seller.html	(from http://www.scrapbuyerss.com/)
20:33:26	88548/88548	---M-Z	200	added ('OK')	text/html	date:Wed,%2030%20Jun%202021%2016:22:34%20GMT	http://www.scrapbuyerss.com/Ferrous-And-Nonferrous-Seller.html	C:/My%20Web%20Sites/Test%20Site/www.scrapbuyerss.com/Ferrous-And-Nonferrous-Seller.html	(from http://www.scrapbuyerss.com/)
20:33:27	65554/65554	---M-Z	200	added ('OK')	text/html	date:Wed,%2030%20Jun%202021%2016:22:34%20GMT	http://www.scrapbuyerss.com/GI-Scrap-Seller.html	C:/My%20Web%20Sites/Test%20Site/www.scrapbuyerss.com/GI-Scrap-Seller.html	(from http://www.scrapbuyerss.com/)
20:33:28	75762/75762	---M-Z	200	added ('OK')	text/html	date:Wed,%2030%20Jun%202021%2016:22:34%20GMT	http://www.scrapbuyerss.com/Iron-Pipes-Scrap-Seller.html	C:/My%20Web%20Sites/Test%20Site/www.scrapbuyerss.com/Iron-Pipes-Scrap-Seller.html	(from http://www.scrapbuyerss.com/)
20:33:28	77038/77038	---M-Z	200	added ('OK')	text/html	date:Wed,%2030%20Jun%202021%2016:22:34%20GMT	http://www.scrapbuyerss.com/Steel-Pipes-Scrap-Seller.html	C:/My%20Web%20Sites/Test%20Site/www.scrapbuyerss.com/Steel-Pipes-Scrap-Seller.html	(from http://www.scrapbuyerss.com/)
20:33:29	68106/68106	---M-Z	200	added ('OK')	text/html	date:Wed,%2030%20Jun%202021%2016:22:34%20GMT	http://www.scrapbuyerss.com/Iron-Scrap-Seller.html	C:/My%20Web%20Sites/Test%20Site/www.scrapbuyerss.com/Iron-Scrap-Seller.html	(from http://www.scrapbuyerss.com/)
20:33:29	68106/68106	---M-Z	200	added ('OK')	text/html	date:Wed,%2030%20Jun%202021%2016:22:34%20GMT	http://www.scrapbuyerss.com/Lead-Scrap-Seller.html	C:/My%20Web%20Sites/Test%20Site/www.scrapbuyerss.com/Lead-Scrap-Seller.html	(from http://www.scrapbuyerss.com/)
20:33:30	75993/75993	---M-Z	200	added ('OK')	text/html	date:Wed,%2030%20Jun%202021%2016:22:34%20GMT	http://www.scrapbuyerss.com/CPVC-Pipes-Scrap-Seller.html	C:/My%20Web%20Sites/Test%20Site/www.scrapbuyerss.com/CPVC-Pipes-Scrap-Seller.html	(from http://www.scrapbuyerss.com/)
20:33:30	77038/77038	---M-Z	200	added ('OK')	text/html	date:Wed,%2030%20Jun%202021%2016:22:34%20GMT	http://www.scrapbuyerss.com/Motor-Parts-Scrap-Seller.html	C:/My%20Web%20Sites/Test%20Site/www.scrapbuyerss.com/Motor-Parts-Scrap-Seller.html	(from http://www.scrapbuyerss.com/)
20:33:31	70658/70658	---M-Z	200	added ('OK')	text/html	date:Wed,%2030%20Jun%202021%2016:22:34%20GMT	http://www.scrapbuyerss.com/Nickel-Scrap-Seller.html	C:/My%20Web%20Sites/Test%20Site/www.scrapbuyerss.com/Nickel-Scrap-Seller.html	(from http://www.scrapbuyerss.com/)
20:33:31	82168/82168	---M-Z	200	added ('OK')	text/html	date:Wed,%2030%20Jun%202021%2016:22:34%20GMT	http://www.scrapbuyerss.com/Office-Furnitures-Seller.html	C:/My%20Web%20Sites/Test%20Site/www.scrapbuyerss.com/Office-Furnitures-Seller.html	(from http://www.scrapbuyerss.com/)
20:33:32	82168/82168	---M-Z	200	added ('OK')	text/html	date:Wed,%2030%20Jun%202021%2016:22:34%20GMT	http://www.scrapbuyerss.com/Old-Air-Condition-Seller.html	C:/My%20Web%20Sites/Test%20Site/www.scrapbuyerss.com/Old-Air-Condition-Seller.html	(from http://www.scrapbuyerss.com/)
20:33:32	77064/77064	---M-Z	200	added ('OK')	text/html	date:Wed,%2030%20Jun%202021%2016:22:34%20GMT	http://www.scrapbuyerss.com/Old-Machinery-Seller.html	C:/My%20Web%20Sites/Test%20Site/www.scrapbuyerss.com/Old-Machinery-Seller.html	(from http://www.scrapbuyerss.com/)
20:33:33	75788/75788	---M-Z	200	added ('OK')	text/html	date:Wed,%2030%20Jun%202021%2016:22:34%20GMT	http://www.scrapbuyerss.com/Old-Vehicles-Seller.html	C:/My%20Web%20Sites/Test%20Site/www.scrapbuyerss.com/Old-Vehicles-Seller.html	(from http://www.scrapbuyerss.com/)
20:33:33	73236/73236	---M-Z	200	added ('OK')	text/html	date:Wed,%2030%20Jun%202021%2016:22:34%20GMT	http://www.scrapbuyerss.com/Pet-Bottle-Seller.html	C:/My%20Web%20Sites/Test%20Site/www.scrapbuyerss.com/Pet-Bottle-Seller.html	(from http://www.scrapbuyerss.com/)
20:33:34	74693/74693	---M-Z	200	added ('OK')	text/html	date:Wed,%2030%20Jun%202021%2016:22:34%20GMT	http://www.scrapbuyerss.com/Pvc-Scrap-Seller.html	C:/My%20Web%20Sites/Test%20Site/www.scrapbuyerss.com/Pvc-Scrap-Seller.html	(from http://www.scrapbuyerss.com/)
20:33:34	71934/71934	---M-Z	200	added ('OK')	text/html	date:Wed,%2030%20Jun%202021%2016:22:34%20GMT	http://www.scrapbuyerss.com/Plastic-Scrap-Seller.html	C:/My%20Web%20Sites/Test%20Site/www.scrapbuyerss.com/Plastic-Scrap-Seller.html	(from http://www.scrapbuyerss.com/)
20:33:35	73236/73236	---M-Z	200	added ('OK')	text/html	date:Wed,%2030%20Jun%202021%2016:22:34%20GMT	http://www.scrapbuyerss.com/PVB-Rubber-Seller.html	C:/My%20Web%20Sites/Test%20Site/www.scrapbuyerss.com/PVB-Rubber-Seller.html	(from http://www.scrapbuyerss.com/)
20:33:35	79616/79616	---M-Z	200	added ('OK')	text/html	date:Wed,%2030%20Jun%202021%2016:22:34%20GMT	http://www.scrapbuyerss.com/Stainless-Steel-Seller.html	C:/My%20Web%20Sites/Test%20Site/www.scrapbuyerss.com/Stainless-Steel-Seller.html	(from http://www.scrapbuyerss.com/)
20:33:36	74486/74486	---M-Z	200	added ('OK')	text/html	date:Wed,%2030%20Jun%202021%2016:22:34%20GMT	http://www.scrapbuyerss.com/TMT-Steel-Scrap-Seller.html	C:/My%20Web%20Sites/Test%20Site/www.scrapbuyerss.com/TMT-Steel-Scrap-Seller.html	(from http://www.scrapbuyerss.com/)
20:33:36	70658/70658	---M-Z	200	added ('OK')	text/html	date:Wed,%2030%20Jun%202021%2016:22:34%20GMT	http://www.scrapbuyerss.com/Wooden-Scrap-Seller.html	C:/My%20Web%20Sites/Test%20Site/www.scrapbuyerss.com/Wooden-Scrap-Seller.html	(from http://www.scrapbuyerss.com/)
